IP Address,x,y,z
34.81.72.54,34,81,72
237.175.53.115,237,175,53
210.118.187.27,210,118,187
63.83.77.93,63,83,77
154.99.171.217,154,99,171
8.212.124.222,8,212,124
8.98.225.237,8,98,225
185.48.84.104,185,48,84
122.222.38.84,122,222,38
84.82.118.243,84,82,118
68.212.222.231,68,212,222
178.57.55.96,178,57,55
179.95.106.57,179,95,106
186.214.179.141,186,214,179
225.27.92.28,225,27,92
247.183.196.251,247,183,196
123.96.254.160,123,96,254
78.64.117.218,78,64,117
26.72.115.181,26,72,115
80.74.124.0,80,74,124
254.173.171.0,254,173,171
1.89.142.195,1,89,142
90.119.38.20,90,119,38
46.70.23.221,46,70,23
136.183.198.254,136,183,198
207.199.184.127,207,199,184
178.39.156.9,178,39,156
104.205.221.14,104,205,221
120.103.111.136,120,103,111
77.204.55.61,77,204,55
64.200.31.125,64,200,31
74.75.50.43,74,75,50
123.172.63.166,123,172,63
162.196.250.80,162,196,250
108.12.56.41,108,12,56
66.70.202.24,66,70,202
192.112.135.41,192,112,135
164.11.132.236,164,11,132
39.16.17.16,39,16,17
77.90.234.115,77,90,234
84.234.231.173,84,234,231
96.128.18.62,96,128,18
56.243.142.253,56,243,142
97.164.87.118,97,164,87
181.251.229.72,181,251,229
139.125.227.133,139,125,227
133.175.158.19,133,175,158
191.16.56.143,191,16,56
78.218.32.162,78,218,32
110.51.251.190,110,51,251
35.161.237.4,35,161,237
89.64.175.91,89,64,175
172.220.189.29,172,220,189
252.179.220.81,252,179,220
235.103.218.185,235,103,218
169.8.151.11,169,8,151
202.15.18.77,202,15,18
100.164.251.90,100,164,251
148.19.124.25,148,19,124
72.81.202.219,72,81,202
77.246.39.236,77,246,39
20.78.67.25,20,78,67
221.25.233.227,221,25,233
12.7.125.196,12,7,125
42.131.158.49,42,131,158
17.136.188.94,17,136,188
54.166.32.127,54,166,32
48.212.39.79,48,212,39
200.35.34.226,200,35,34
57.83.191.80,57,83,191
47.87.234.167,47,87,234
2.151.184.141,2,151,184
10.179.15.228,10,179,15
10.48.122.131,10,48,122
71.232.185.203,71,232,185
142.102.36.68,142,102,36
213.69.127.177,213,69,127
111.222.185.14,111,222,185
236.252.52.72,236,252,52
30.102.44.79,30,102,44
145.55.87.45,145,55,87
9.193.204.64,9,193,204
216.242.143.89,216,242,143
186.201.222.234,186,201,222
235.23.141.25,235,23,141
56.125.188.196,56,125,188
171.25.139.199,171,25,139
189.217.216.114,189,217,216
57.45.3.15,57,45,3
34.57.196.106,34,57,196
183.79.197.156,183,79,197
145.78.66.162,145,78,66
16.203.61.177,16,203,61
159.57.205.176,159,57,205
159.221.236.190,159,221,236
76.118.116.128,76,118,116
98.229.33.138,98,229,33
60.250.28.66,60,250,28
202.148.65.75,202,148,65
201.236.237.33,201,236,237
